war_total,next_season_war_total,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
1.947859072,2.240047148,A.C. Green,greenac01,1997,4722,2492,-1.356926108,0.133779731,-1.223146377,1.947859072,0,-1.659678297,0.074978064,-1.584700233,-0.763985776,DAL,33,205.74,102.0582,Oregon State,USA,1985,1,23,83,7.2,7.9,0.8,-8,0.1,0.207,0.119,0.523,0.045
2.240047148,0.426544597,A.C. Green,greenac01,1998,5018,2649,-0.974740082,-0.101325819,-1.076065901,2.240047148,0,-1.321464094,0.055310909,-1.266153185,-0.900807715,DAL,34,205.74,102.0582,Oregon State,USA,1985,1,23,82,7.3,8.1,1.5,-7.2,0.09,0.196,0.118,0.496,0.07400000000000001
0.426544597,2.525671328,A.C. Green,greenac01,1999,1733,924,-1.496344384,-0.342988238,-1.839332622,0.426544597,0,-1.623462929,-0.619363355,-2.242826285,-0.579964492,DAL,35,205.74,102.0582,Oregon State,USA,1985,1,23,50,4.9,4.6,0.5,-5.6,0.097,0.179,0.14800000000000002,0.441,0.043
2.525671328,1.089576495,A.C. Green,greenac01,2000,4609,2358,-1.425109226,0.782424016,-0.64268521,2.11499148,0.410679848,-1.487124917,0.34513939,-1.141985527,-0.734571696,LAL,36,205.74,102.0582,Oregon State,USA,1985,1,23,82,5,5.9,1,8.1,0.08900000000000001,0.179,0.111,0.482,0.05799999999999999
1.089576495,NA,A.C. Green,greenac01,2001,2630,1432,-2.614549731,1.360416615,-1.254133116,1.054258389,0.035318107,-3.016787091,0.285907504,-2.730879587,-0.339226045,MIA,37,205.74,102.0582,Oregon State,USA,1985,1,23,82,4.5,3.8,0.5,3.3,0.08900000000000001,0.171,0.141,0.4920000000000001,0.05
-0.221280828,NA,A.J. Bramlett,bramlaj01,2000,123,61,-8.360250498,-1.460234549,-9.820485047,-0.221280828,0,-7.89985332,-1.09361209,-8.993465409,0.52741307,CLE,23,208.28,102.965384,Arizona,USA,1999,2,39,8,1,2.8,0,-32.6,0.158,0.208,0.146,0.19,0
-0.324015126,0.127747786,A.J. Guyton,guytoaj01,2001,1186,630,-1.194590014,-2.56871437,-3.763304384,-0.324015126,0,-1.675223247,-3.3322721,-5.007495347,-0.478357021,CHI,23,185.42,81.64656,Indiana,USA,2000,2,32,33,6,1.1,1.9,-12.4,0.018,0.053,0.16899999999999998,0.495,0.198
0.127747786,-0.036385489,A.J. Guyton,guytoaj01,2002,1158,607,-0.247281686,-2.08866779,-2.335949476,0.127747786,0,-0.319189163,-3.481856079,-3.801045242,-0.34364186,CHI,24,185.42,81.64656,Indiana,USA,2000,2,32,45,5.4,1,1.8,-3.8,0.022,0.067,0.221,0.477,0.248
-0.036385489,NA,A.J. Guyton,guytoaj01,2003,18,9,-10.97979603,0.355305025,-10.62449101,-0.036385489,0,-8.980100733,-1.185250331,-10.16535106,0.579114831,GSW,25,185.42,81.64656,Indiana,USA,2000,2,32,2,0,0,1,-3.9,0,0,0.282,0,0.4
-0.515632351,NA,AJ Hammons,hammoaj01,2017,329,163,-6.225790238,-2.75331199,-8.979102228,-0.515632351,0,-6.869165002,-3.507816805,-10.37698181,-0.453689655,DAL,24,213.36,117.93392,Purdue,USA,2016,2,46,22,2.2,1.6,0.2,-0.6,0.049,0.199,0.16699999999999998,0.472,0.038
1.216810092,0.394350497,AJ Price,priceaj01,2010,1770,865,-0.030201709,0.029631281,-5.70428e-4,1.216810092,0,0.088747421,-0.739834133,-0.651086712,0.264851158,IND,23,187.96,82.10015200000001,Connecticut,USA,2009,2,52,56,7.3,1.6,1.9,1.4,0.015,0.098,0.225,0.53,0.198
0.394350497,0.747916315,AJ Price,priceaj01,2011,1738,875,-0.597809547,-1.285629237,-1.883438784,0.3027091,0.091641397,-0.272577232,-1.560530704,-1.833107936,0.607513541,IND,24,187.96,82.10015200000001,Connecticut,USA,2009,2,52,50,6.5,1.4,2.2,1.6,0.022,0.083,0.227,0.454,0.233
0.747916315,1.825320985,AJ Price,priceaj01,2012,1099,575,0.12951693,-0.334228744,-0.204711813,0.721123276,0.026793039,0.145087538,-1.320402329,-1.175314791,0.055951859,IND,25,187.96,83.91452,Connecticut,USA,2009,2,52,44,3.9,1.4,2,0.5,0.024,0.104,0.175,0.454,0.264
1.825320985,0.017380912,AJ Price,priceaj01,2013,2483,1278,0.790574759,-0.736630441,0.053944318,1.825320985,0,0.490560929,-0.839681655,-0.349120727,-0.150252534,WAS,26,187.96,83.91452,Connecticut,USA,2009,2,52,57,7.7,2,3.6,-2.3,0.017,0.083,0.181,0.501,0.273
0.017380912,0.537240067,AJ Price,priceaj01,2014,210,99,-3.567381124,1.164699957,-2.402681166,0.017380912,0,-3.147748857,-2.67766897,-5.825417827,-0.88622976,MIN,27,187.96,88.45044,Connecticut,USA,2009,2,52,28,1.6,0.4,0.5,-2.4,0.009,0.081,0.23,0.469,0.271
0.537240067,NA,AJ Price,priceaj01,2015,629,324,-0.212227916,0.674696616,0.4624687,0.537240067,0,0.122709011,-0.818110026,-0.695401015,-1.954778623,CLE,28,187.96,88.45044,Connecticut,USA,2009,2,52,26,5.1,1.2,1.8,-12.2,0.019,0.096,0.226,0.451,0.254
0.282429807,2.210047572,Aaron Brooks,brookaa01,2008,1247,658,0.147311327,-2.017516889,-1.870205563,0.392529705,-0.110099897,-0.005530596,-2.286425612,-2.291956208,1.008239194,HOU,23,182.88,73.028312,Oregon,USA,2007,1,26,51,5.2,1.1,1.7,-0.5,0.026,0.085,0.224,0.535,0.249
2.210047572,4.961011406,Aaron Brooks,brookaa01,2009,4616,2442,0.816104357,-1.815712186,-0.999607829,1.521327607,0.688719965,0.863258772,-1.652236365,-0.788977593,0.045494045,HOU,24,182.88,73.028312,Oregon,USA,2007,1,26,80,11.2,2,3,4.2,0.021,0.071,0.231,0.521,0.201
4.961011406,-0.758122309,Aaron Brooks,brookaa01,2010,5782,2919,1.944771309,-1.361976216,0.582795093,4.961011406,0,2.179931646,-1.110705123,1.069226523,-0.046012943,HOU,25,182.88,73.028312,Oregon,USA,2007,1,26,82,19.6,2.6,5.3,-0.7,0.021,0.065,0.258,0.5489999999999999,0.253
-0.758122309,-0.500407315,Aaron Brooks,brookaa01,2011,2551,1284,0.372267744,-4.258837745,-3.886570001,-0.758122309,0,0.773938684,-3.864880623,-3.090941939,1.559061725,PHX,26,182.88,73.028312,Oregon,USA,2007,1,26,59,10.7,1.3,3.9,-6.5,0.017,0.053,0.257,0.489,0.289
-0.500407315,1.159718515,Aaron Brooks,brookaa01,2013,2103,1064,-0.934484719,-2.725923325,-3.660408045,-0.440476522,-0.059930794,-0.924959055,-2.573598053,-3.498557108,1.348471904,HOU,28,182.88,73.028312,Oregon,USA,2007,1,26,53,7.1,1.5,2.2,-10.7,0.01399999999999999,0.077,0.181,0.555,0.19
1.159718515,0.806605562,Aaron Brooks,brookaa01,2014,3238,1557,0.476020929,-1.775865255,-1.299844326,1.159718515,0,0.59231632,-1.317344046,-0.725027727,0.402585215,DEN,29,182.88,73.028312,Oregon,USA,2007,1,26,72,9,1.9,3.2,-2.5,0.031,0.069,0.205,0.518,0.238
0.806605562,1.119932906,Aaron Brooks,brookaa01,2015,3956,2017,1.145132412,-3.076409099,-1.931276688,1.4468499,-0.640244338,1.256109982,-2.203028423,-0.946918441,-0.439278674,CHI,30,182.88,73.028312,Oregon,USA,2007,1,26,82,11.6,2,3.2,5.2,0.019,0.078,0.252,0.534,0.245
1.119932906,-0.175476963,Aaron Brooks,brookaa01,2016,2256,1108,0.163022608,-0.925842757,-0.762820149,1.119932906,0,0.458035526,-1.24103851,-0.783002984,-0.297736218,CHI,31,182.88,73.028312,Oregon,USA,2007,1,26,69,7.1,1.5,2.6,-1.4,0.02,0.078,0.231,0.494,0.265
-0.175476963,-0.392122078,Aaron Brooks,brookaa01,2017,1819,901,-0.722139221,-2.404115374,-3.126254595,-0.126450874,-0.049026089,-1.313516256,-3.077393673,-4.390909929,-0.645100725,IND,32,182.88,73.028312,Oregon,USA,2007,1,26,65,5,1.1,1.9,-3,0.022,0.064,0.191,0.507,0.21600000000000005
-0.392122078,NA,Aaron Brooks,brookaa01,2018,404,192,-1.802056145,-4.949066198,-6.751122343,-0.397393094,0.005271016,-1.246252105,-4.314388423,-5.560640529,-0.27995675800000003,MIN,33,182.88,73.028312,Oregon,USA,2007,1,26,32,2.3,0.5,0.6,-17.2,0.036,0.057,0.192,0.508,0.161
0.357701529,3.505305488,Aaron Gordon,gordoaa01,2015,1603,797,-1.853828848,-0.014868085,-1.868696933,0.357701529,0,-2.88046227,-0.838735059,-3.719197329,-0.17720031,ORL,19,205.74,99.79024,Arizona,USA,2014,1,4,47,5.2,3.6,0.7,-5.6,0.064,0.171,0.156,0.517,0.064
3.505305488,4.228521971,Aaron Gordon,gordoaa01,2016,3823,1863,0.894396971,0.045811175,0.940208146,3.505305488,0,0.756292443,-0.21265225200000001,0.543640191,-0.062592982,ORL,20,205.74,99.79024,Arizona,USA,2014,1,4,78,9.2,6.5,1.6,-1.3,0.08900000000000001,0.21,0.171,0.541,0.103
